iter	Passed	Remaining
813	3554	812
814	3558	807
815	3561	803
816	3565	798
817	3570	794
818	3574	789
819	3578	785
820	3581	780
821	3585	776
822	3589	771
823	3592	767
824	3595	762
825	3600	758
826	3603	753
827	3606	749
828	3609	744
829	3612	740
830	3616	735
831	3619	730
832	3622	726
833	3625	721
834	3629	717
835	3633	712
836	3636	708
837	3640	703
838	3643	699
839	3647	694
840	3651	690
841	3654	685
842	3658	681
843	3661	676
844	3664	672
845	3668	667
846	3671	663
847	3675	658
848	3678	654
849	3682	649
850	3686	645
851	3689	640
852	3693	636
853	3697	632
854	3701	627
855	3704	623
856	3707	618
857	3712	614
858	3715	609
859	3719	605
860	3722	600
861	3726	596
862	3731	592
863	3735	588
864	3738	583
865	3745	579
866	3750	575
867	3754	570
868	3759	566
869	3776	564
870	3779	559
871	3784	555
872	3789	551
873	3793	546
874	3797	542
875	3800	538
876	3804	533
877	3808	529
878	3811	524
879	3814	520
880	3818	515
881	3822	511
882	3825	506
883	3828	502
884	3831	497
885	3835	493
886	3839	489
887	3842	484
888	3845	480
889	3848	475
890	3852	471
891	3856	466
892	3859	462
893	3862	458
894	3866	453
895	3870	449
896	3874	444
897	3878	440
898	3881	436
899	3885	431
900	3889	427
901	3892	422
902	3895	418
903	3898	414
904	3903	409
905	3906	405
906	3910	400
907	3913	396
908	3918	392
909	3921	387
910	3925	383
911	3928	379
912	3932	374
913	3936	370
914	3939	365
915	3942	361
916	3946	357
917	3950	352
918	3953	348
919	3957	344
920	3960	339
921	3964	335
922	3968	331
923	3971	326
924	3975	322
925	3979	318
926	3983	313
927	3986	309
928	3989	304
929	3993	300
930	3997	296
931	4000	291
932	4004	287
933	4007	283
934	4011	278
935	4014	274
936	4017	270
937	4020	265
938	4024	261
939	4028	257
940	4031	252
941	4034	248
942	4037	244
943	4040	239
944	4044	235
945	4048	231
946	4051	226
947	4054	222
948	4058	218
949	4061	213
950	4065	209
951	4068	205
952	4071	200
953	4076	196
954	4080	192
955	4083	187
956	4087	183
957	4090	179
958	4094	175
959	4097	170
960	4100	166
961	4103	162
962	4108	157
963	4112	153
964	4115	149
965	4119	144
